timestamp,symbol,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
1000000000,AAPL,99.50,200,0.00,0
1000000300,AAPL,99.50,200,100.50,200
1000001000,AAPL,99.50,200,101.00,300
1000002000,AAPL,99.50,50,101.00,300
1000003000,AAPL,99.00,250,101.00,300
1000004000,AAPL,99.00,250,101.50,300
1000005000,AAPL,99.00,250,101.50,300
1000005100,AAPL,0.00,0,101.50,300
1000006000,AAPL,0.00,0,100.00,250
2000000000,MSFT,300.00,1000,0.00,0
2000000100,MSFT,300.00,1000,300.50,500
2000000200,MSFT,300.00,1000,300.50,200
2000001000,MSFT,300.00,800,300.50,200
3000000000,AAPL,95.00,1000,100.00,250
3000002000,AAPL,95.00,1000,96.00,100
3000003000,AAPL,95.00,1000,100.00,200
